year_sbpro,inst_norm,nbc_norm,crossed_n,inst_name,is_unimagdalena,point_type,point_label,sb11_global_mean,sbpro_global_mean
2020,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTA D.C.,,554,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.,false,other_university,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.,257.1606498194946,136.14981949458485
2020,FUNDACION UNIVERSITARIA NAVARRA - UNINAVARRA-NEIVA,,50,FUNDACION UNIVERSITARIA NAVARRA - UNINAVARRA-NEIVA,false,other_university,FUNDACION UNIVERSITARIA NAVARRA - UNINAVARRA-NEIVA,257.24,135.14
2020,UNIVERSIDAD METROPOLITANA-BARRANQUILLA,,262,UNIVERSIDAD METROPOLITANA-BARRANQUILLA,false,other_university,UNIVERSIDAD METROPOLITANA-BARRANQUILLA,257.9732824427481,136.9083969465649
2020,FUNDACION UNIVERSITARIA COLOMBO INTERNACIONAL - UNICOLOMBO-CARTAGENA,,54,FUNDACION UNIVERSITARIA COLOMBO INTERNACIONAL - UNICOLOMBO-CARTAGENA,false,other_university,FUNDACION UNIVERSITARIA COLOMBO INTERNACIONAL - UNICOLOMBO-CARTAGENA,258.05555555555554,142.37037037037038
2020,INSTITUCION UNIVERSITARIA ESCOLME-MEDELLIN,,26,INSTITUCION UNIVERSITARIA ESCOLME-MEDELLIN,false,other_university,INSTITUCION UNIVERSITARIA ESCOLME-MEDELLIN,258.38461538461536,132.30769230769232
2020,CORPORACION UNIVERSITARIA IBEROAMERICANA-BOGOTA D.C.,,429,CORPORACION UNIVERSITARIA IBEROAMERICANA-BOGOTÁ D.C.,false,other_university,CORPORACION UNIVERSITARIA IBEROAMERICANA-BOGOTÁ D.C.,258.3939393939394,141.21445221445222
2020,TECNOLOGICO DE ANTIOQUIA-MEDELLIN,,473,TECNOLOGICO DE ANTIOQUIA-MEDELLIN,false,other_university,TECNOLOGICO DE ANTIOQUIA-MEDELLIN,259.5496828752643,143.7970401691332
2020,FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS-TUNJA,,170,FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS-TUNJA,false,other_university,FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS-TUNJA,259.8,143.46470588235294
2020,CORPORACION UNIVERSITARIA DE COLOMBIA IDEAS-BOGOTA D.C.,,26,CORPORACION UNIVERSITARIA DE COLOMBIA IDEAS-BOGOTÁ D.C.,false,other_university,CORPORACION UNIVERSITARIA DE COLOMBIA IDEAS-BOGOTÁ D.C.,260.34615384615387,141.26923076923077
2020,INSTITUTO DE EDUCACION TECNICA PROFESIONAL DE ROLDANILLO-ROLDANILLO,,100,INSTITUTO DE EDUCACION TECNICA PROFESIONAL DE ROLDANILLO-ROLDANILLO,false,other_university,INSTITUTO DE EDUCACION TECNICA PROFESIONAL DE ROLDANILLO-ROLDANILLO,260.72,130.16
2020,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA -CARTAGENA,,486,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA      -CARTAGENA,false,other_university,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA      -CARTAGENA,261.1008230452675,140.70164609053498
2020,CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA,,147,CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA,false,other_university,CORPORACION POLITECNICO DE LA COSTA ATLANTICA-BARRANQUILLA,261.4557823129252,134.08843537414967
2020,CORPORACION UNIVERSITARIA AUTONOMA DE NARINO -AUNAR-PASTO,,220,CORPORACION UNIVERSITARIA AUTONOMA DE NARIÑO -AUNAR-PASTO,false,other_university,CORPORACION UNIVERSITARIA AUTONOMA DE NARIÑO -AUNAR-PASTO,261.5318181818182,136.04090909090908
2020,FUNDACION DE ESTUDIOS SUPERIORES COMFANORTE -F.E.S.C.-CUCUTA,,29,FUNDACION DE ESTUDIOS SUPERIORES COMFANORTE -F.E.S.C.-CUCUTA,false,other_university,FUNDACION DE ESTUDIOS SUPERIORES COMFANORTE -F.E.S.C.-CUCUTA,261.58620689655174,134.51724137931035
2020,FUNDACION UNIVERSITARIA CATOLICA LUMEN GENTIUM-CALI,,154,FUNDACION UNIVERSITARIA CATOLICA LUMEN GENTIUM-CALI,false,other_university,FUNDACION UNIVERSITARIA CATOLICA LUMEN GENTIUM-CALI,262.038961038961,138.37012987012986
2020,UNIVERSIDAD SIMON BOLIVAR-BARRANQUILLA,,1183,UNIVERSIDAD SIMON BOLIVAR-BARRANQUILLA,false,other_university,UNIVERSIDAD SIMON BOLIVAR-BARRANQUILLA,262.34995773457314,141.2552831783601
2020,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-BELLO,,149,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-BELLO,false,other_university,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-BELLO,262.5838926174497,146.36241610738256
2020,UNIVERSIDAD COOPERATIVA DE COLOMBIA-SANTA MARTA,,295,UNIVERSIDAD COOPERATIVA DE COLOMBIA-SANTA MARTA,false,other_university,UNIVERSIDAD COOPERATIVA DE COLOMBIA-SANTA MARTA,262.7864406779661,141.23728813559322
